hey,1,0,1
buddyyyyy,1,0,1
untut,1,0,1
transparasi,1,0,1
ajar,1,0,1
diperjuangin,1,0,1
melek,0,1,1
plis,0,1,1
ahlaq,0,1,1
ngikut,0,1,1
trending,0,1,1
cemas,0,1,1
ma,0,1,1
y,0,1,1
ngrugiin,0,1,1
ngetik,0,1,1
ngetiknya,0,1,1
wkwkwk,0,1,1
chaos,1,0,1
wenang,1,0,1
ketika,0,1,1
dibully,0,1,1
maki,0,1,1
otoriter,0,1,1
senggol,1,0,1
bacok,1,0,1
layang,1,0,1
singapura,0,1,1
kau,0,1,1
video,0,1,1
indikasi,0,1,1
lahir,0,1,1
th,0,1,1
mantan,0,1,1
insting,0,1,1
rekayasa,0,1,1
ngeluh,1,0,1
allah,1,0,1
doa,1,0,1
bego,1,0,1
sumpahin,1,0,1
neraka,1,0,1
walikota,1,0,1
hajat,1,0,1
untukapa,1,0,1
patuh,1,0,1
insfratruktur,1,0,1
jangka,1,0,1
beberpa,1,0,1
temu,1,0,1
bincang,1,0,1
jenak,1,0,1
krna,1,0,1
linkaran,1,0,1
iblis,1,0,1
pancasilais,1,0,1
mengugatnya,1,0,1
ri,1,0,1
filter,1,0,1
suri,1,0,1
bantuanya,1,0,1
hadap,1,0,1
kawal,1,0,1
dibayang,1,0,1
blm,0,1,1
pesimis,0,1,1
iyaa,1,0,1
trust,1,0,1
lingkup,1,0,1
guideline,1,0,1
eksekusi,1,0,1
konsep,1,0,1
hehehe,1,0,1
ketidakadilan,0,1,1
bedah,1,0,1
pokok,1,0,1
solanya,0,1,1
tribunnews,0,1,1
google,0,1,1
drive,0,1,1
akses,0,1,1
donk,0,1,1
thanks,0,1,1
please,0,1,1
banner,0,1,1
setinggi,0,1,1
giring,0,1,1
resume,0,1,1
konferensi,0,1,1
pers,0,1,1
md,0,1,1
dishare,0,1,1
godok,1,0,1
gubris,1,0,1
mengcover,1,0,1
maka,1,0,1
industri,1,0,1
knp,1,0,1
terburu,1,0,1
pasalnya,1,0,1
serta,1,0,1
transparan,1,0,1
kesalahpahaman,0,1,1
info,0,1,1
mainstream,0,1,1
ternaman,0,1,1
kelar,0,1,1
utang,1,0,1
lengser,1,0,1
adik,1,0,1
kak,0,1,1
kenapa,0,1,1
medis,0,1,1
rejekinya,0,1,1
sepi,0,1,1
detilnya,0,1,1
halaman,0,1,1
resistance,0,1,1
kalimat,0,1,1
pemprov,0,1,1
jabar,0,1,1
surat,0,1,1
rau,0,1,1
dprdnya,0,1,1
sukses,0,1,1
pintu,0,1,1
rezeki,0,1,1
larang,0,1,1
impor,0,1,1
karyawannya,0,1,1
lamar,0,1,1
damai,0,1,1
mprof,0,1,1
interogasi,1,0,1
model,1,0,1
patah,1,0,1
framingnya,0,1,1
jujur,0,1,1
nemu,0,1,1
analisa,0,1,1
lengkap,0,1,1
positive,0,1,1
unggul,0,1,1
skip,0,1,1
standar,1,0,1
daknya,1,0,1
misal,1,0,1
perempuan,1,0,1
ngegodain,1,0,1
in,1,0,1
imbalanya,1,0,1
sahkanya,1,0,1
resah,1,0,1
duduk,1,0,1
diyeyeyein,0,1,1
mojokin,0,1,1
kurespon,0,1,1
mba,0,1,1
backing,1,0,1
advocat,1,0,1
tera,1,0,1
belah,1,0,1
peran,1,0,1
bro,1,0,1
manipulatif,1,0,1
terkadang,1,0,1
diberitain,1,0,1
realita,1,0,1
steer,1,0,1
heboh,1,0,1
imbas,1,0,1
rahasia,1,0,1
alami,1,0,1
stm,1,0,1
syahwat,1,0,1
parpol,1,0,1
kasihan,1,0,1
tiket,1,0,1
kereta,1,0,1
truk,1,0,1
bus,1,0,1
almet,0,1,1
ditanyain,0,1,1
basic,0,1,1
dijadiin,0,1,1
lhaaaa,0,1,1
anti,1,0,1
gerindra,1,0,1
milu,1,0,1
dua,1,0,1
come,1,0,1
polos,1,0,1
narik,1,0,1
simpati,1,0,1
pdip,1,0,1
zaman,1,0,1
gaya,1,0,1
hoaxnya,1,0,1
kritis,1,0,1
smi,0,1,1
kompeten,0,1,1
tidur,1,0,1
nyenyak,1,0,1
dsuatu,1,0,1
pengaruh,1,0,1
trhadap,1,0,1
toh,1,0,1
saling,1,0,1
tangis,1,0,1
dikatain,0,1,1
buzzer,0,1,1
shut,0,1,1
ngebikin,0,1,1
prp,0,1,1
relevan,0,1,1
hipokrit,0,1,1
ramah,1,0,1
website,1,0,1
resmi,1,0,1
sumatera,1,0,1
plontos,1,0,1
gali,1,0,1
gundul,1,0,1
kelapa,1,0,1
klopun,0,1,1
prakarsa,0,1,1
imb,0,1,1
acc,0,1,1
handle,0,1,1
keteter,0,1,1
