author_id,created_at,id,source,text
204010724,2020-10-07T12,1313824874792546305,Twitter for Android,"Besok omnibuslaw batal, jokowi selamet lagi, gajadi lengser. Enak ya suka bikin gaduh."
64635651,2020-10-07T12,1313824857927290880,TweetDeck," \24 pelajar ini SMP dan SMA di Tangerang, serta MAN (Madrasah Aliyah Negeri) dari Kedaung,\ "
1189452214986653696,2020-10-07T12,1313824853338673152,Twitter for Android, Melindungi yg berduit mksdnya 
1148253919060959232,2020-10-07T12,1313824849668661249,Twitter for Android,"BKN MEMIHAK cba pikir dgn kepala jernih ttng omnibus law Gini aja, ambil 2 kemungkinan 1. 13 point it benar, brarti emng ad faktor kepentingan silahkan demonstrasi tpi jgn anarkis. 2. 13 point itu hoaks, brarti ad pihak ke 3 yg sdng mengadu domba bangsa ini. Just hipotesis bocil"
1197788269410275330,2020-10-07T12,1313824846279712768,Twitter Web App,"Siap menolak omnibus law, tapi sebentar kalo gak panas baru jalan. "
1174048823171153922,2020-10-07T12,1313824842529927168,Twitter for Android,"Para Ranting ranting pohon Cendana mau Demo. Pak Polri klu mereka anarkis, ajar sampai ke skar akarnya Dampak Omnibus Law, PA 212 Susun Rencana Kerahkan Umat Turun ke Jalan "
1240123274090221569,2020-10-07T12,1313824841275904001,Twitter for iPad,undang-undang omnibuslaw mau mengungkapkan alun-alun proyek modern bersamaan bertambahnya kapitalisasi nan masuk.
1282671081367584768,2020-10-07T12,1313824831188553729,Twitter Web App,cuma mau ngomong. ini yang kasus omnibus law ini jangan dismain kayak kasus 1998 ya. it's very... triggering
534286858,2020-10-07T12,1313824811127246848,Twitter for Android,Omnibus law jg lelucon yang dilontarkan tidak pada tempatnya.
2645700810,2020-10-07T12,1313824808551899141,Twitter for iPhone," Setidaknya anak muda penggemar K-POP ikut mengudara sampai Omnibus Law trending mas, tapi apa yg dilakukan konon kiyai tersebut saat kezdaliman dari arah kursi nya...?"
734005284713041920,2020-10-07T12,1313824803938275328,WordPress.com,Tito Diperintahkan Presiden Rampungkan Omnibus Law Bulan\u00a0Depan
541354718,2020-10-07T12,1313824792315793408,Twitter for Android,Rapatkan barisan Tolak omnibuslaw
1100999110335725568,2020-10-07T12,1313824781884563457,Twitter for Android,"Guru Besar, Dekan dan 200 Dosen dari 55 Perguruan tinggi, menyatakan Sikap \ Menolak Omnibus Law UU Cipta Kerja\ !!! Merdekalah Buruh !!! "
1228549985601372160,2020-10-07T12,1313824778730438656,Twitter for Android, Y0NGIE 
1279494366726217728,2020-10-07T12,1313824754147573761,Twitter for Android,Bercanda Ini yang namanya mengayomi?? Semenjak RUU omnibus law muncul banyak aparat negara yang ganti profesi Ehh kayanya dari dulu dengg
906089253288816640,2020-10-07T12,1313824723034238976,Twitter for iPhone," Para keparat berfikir anak dan keluarganya semua akan jadi keparat seperti mereka, tidak sadar bila akan ada anak dan keluarganya bakal jadi buruh dan pekerja akan terdampak langsung omnibuslaw "
1165140258008129536,2020-10-07T12,1313824718986723329,Twitter for iPhone,"Jangan lupa malam ini di trans7, mata najwa bahas omnibus law, yuk kawal rame rame guys."
969094071905001472,2020-10-07T12,1313824697050570752,Twitter for Android,"Semua itu baik, tp belum tentu benar .. mungkin Omnibus Law itu baik, tp benar atau tidaknya monggo dinilai aja lah"
2711713062,2020-10-07T12,1313824680755642368,Twitter for Android," Bagi kami lebih menakutkan omnibuslaw dari pada pandemi ini,pandemi hanya berdampak pada kehidupan kita aja klo omnibuslaw berdampak buat masa depan anak cucu kami"
855678776813903876,2020-10-07T12,1313824674128642049,Twitter for Android,ni grgr omnibuslaw pr gua jadi ikutan banyak anjing
759208790,2020-10-07T12,1313824669477163010,Twitter for Android, Omnibus law dibatalkan
1239400674711855105,2020-10-07T12,1313824668311150598,Twitter for Mac,UU Omnibuslaw akn membuka lapangan pekerjaan brru seirng brtambahnya investasi yg masuk.
1263322030453096449,2020-10-07T12,1313824667761700865,Twitter for Android,"Clear ya, mereka memang tidak mau mendengar suara rakyat lagi. Presiden perintahkan Peraturan Pemerintah (PP) sebagai pelaksana UU Omnibus Law segera diterbitkan bulan depan. "
1309307195209601025,2020-10-07T12,1313824650556653568,Twitter for Android,"Kami mahasiswa universitas Khairun Ternate, Maluku Utara, solidaritas samurai menolak keras RUU celak,(omnibuslaw) "
4025612832,2020-10-07T12,1313824631971704833,Twitter for Android," Di tipi2 nasional pemerintah dan pengusaha masih ngotot UU omnibuslaw cilaka sijoko jalan terus, mengabaikan tuntutan massa aksi, bahkan mengintimidasi dan menuduh massa aksi bodoh soal UU cilaka ini .. memuakkan ini rejim.. Besok makan siang di istana.. "
1208925355894919168,2020-10-07T12,1313824631460032512,Twitter for Android,Gimana ya kalo rakyat indonesia nolak bayar pajak sampe ruu cipta kerja dan omnibuslaw ini di hapus Dpr pusing ga ya?
238957637,2020-10-07T12,1313824623457234945,Twitter for Android,"Demo dimana2 bahkan sampai diberitakan ada yang anarkis, akankah membatalkan Omnibuslaw?, aku mah melly goeslaw aja boleh (Ada apa dengan DPR?)"
